cell_key,minimum_dQ_100_10,variance_dQ_100_10,skewness_dQ_100_10,kurtosis_dQ_100_10,slope_lin_fit_2_100,intercept_lin_fit_2_100,discharge_capacity_2,diff_discharge_capacity_max_2,mean_charge_time_2_6,minimum_IR_2_100,diff_IR_100_2,minimum_dQ_5_4,variance_dQ_5_4,cycle_life,cycle_550_clf
4-3,1.0966134333977129,-5.938304305508886,-2.202472209499733,-0.279374857086823,-0.1422725736274313,1172.2534854714952,1174.5976,0.0,1855.2,9999,9999,9999,9999,1142,9999
5-7,1.0845899400241217,-3.759530934871589,2.7681117559509607,5.53002333147698,-0.13638853899539635,1173.6473764447194,1176.002911111111,0.0,1870.6,9999,9999,9999,9999,1448,9999
3-3,0.09391485074945112,-4.680471179076827,-0.10286872661747588,0.23176670815523212,0.008341851164708864,1186.658698463089,1173.513511111111,17.0528888888889,1866.4,9999,9999,9999,9999,1649,9999
2-3,0.9295721790765434,-5.226899510552332,2.3829022272942524,5.111429185778135,0.08921480189651594,1180.6606980645456,1166.4458222222222,23.073022222222335,1862.0,9999,9999,9999,9999,1751,9999
9-3,0.4219079727794577,-0.12777269074326403,-0.9853452006879674,0.5579640266741623,-0.013402464371607218,1204.2375283813187,1191.3324444444445,15.815933333333305,1917.8,9999,9999,9999,9999,1905,9999
10-5,0.17031909585998914,-4.280257480135085,2.145913118940057,4.8005621818875825,0.03996149302549281,1194.7208568863236,1179.903622222222,20.52977777777778,1885.0,9999,9999,9999,9999,2030,9999
3-2,0.22079125900594923,-5.038353290327894,-0.7441111319206325,-0.05997384088287298,0.0017176417233562718,1197.8202579811723,1185.426,15.863333333333458,1909.4,9999,9999,9999,9999,2283,9999
3-7,1.0011404063596778,-3.6910405270233233,2.0819677263783953,4.59022484930117,-0.11053588895760365,1168.1696424837946,1170.4024,0.0,1841.6,9999,9999,9999,9999,2479,9999
9-1,0.5606940747740673,-5.213429040398465,2.7882172587206835,5.592294174146555,-0.04463008122036709,1209.3332908174716,1197.1352666666667,14.315755555555597,1941.4,9999,9999,9999,9999,2057,9999
2-2,1.1634629961722687,-4.383747256878775,-0.2719596139470321,1.8084257709921416,-0.1672657544148977,1217.1935207173779,1220.2054222222223,0.0,2099.6,9999,9999,9999,9999,2651,9999
4-7,1.1073070718633562,-3.6136457265429796,2.2744558580591723,5.039157738723111,-0.14664873744245152,1224.2038166701025,1226.717688888889,0.0,2121.0,9999,9999,9999,9999,2216,9999
9-7,-0.10270043280194979,-5.783793547242875,-0.8271079586161479,0.09058681868010145,-0.014089442451727658,1197.8075091596234,1186.4319555555555,14.532844444444436,1893.4,9999,9999,9999,9999,2012,9999
1-8,1.0250085859347615,-4.807344533363576,2.330510198831091,4.980298377107389,-0.11767728633271529,1186.9569352481735,1189.9512,0.0,1933.6,9999,9999,9999,9999,2285,9999
4-6,1.112879978806093,-6.072498207662502,2.075521613798248,4.682745121385238,-0.14249015515701274,1167.2016561304656,1169.4955333333335,0.0,1856.8,9999,9999,9999,9999,1380,9999
2-7,0.5141556334089501,-3.6185442270602057,1.433899355359566,3.6576487743318187,0.029507697656839933,1195.7248698870792,1181.473,19.561777777777706,1898.2,9999,9999,9999,9999,2202,9999
8-4,0.9967295430422741,-6.026676735477714,2.0869730275480767,4.665065152700011,-0.10864117748917777,1175.9645518037514,1178.1260222222222,0.0,1855.6,9999,9999,9999,9999,1885,9999
7-2,0.8752671023584773,-4.108245763774799,2.574717426664921,5.245886197778194,-0.08820889356146516,1200.4611333424953,1190.6216,9.801844444444441,1910.8,9999,9999,9999,9999,2030,9999
10-3,1.0469628076508934,-5.6546753147755116,1.67138180790066,4.09681746035171,-0.12856869209097796,1178.7359596326073,1181.3872000000001,0.0,1860.2,9999,9999,9999,9999,1848,9999
2-4,1.1331646294078592,0.19184847416815068,-0.7367098578985681,0.5245304690375183,-0.14149299773242632,1180.5401246340957,1183.0640444444443,0.0,1911.6,9999,9999,9999,9999,1499,9999
7-4,1.052760655990236,-1.9910706697655656,0.28201880159607934,-1.4441522405333327,-0.1137576972445541,1169.8046496209258,1171.6460666666667,0.0,1837.6,9999,9999,9999,9999,1393,9999
3-4,1.1132794510150372,-4.81707418665743,0.7285593713245035,2.8085799114376675,-0.1448897178588603,1170.0759759041662,1172.676088888889,0.0,1846.6,9999,9999,9999,9999,1766,9999
5-4,0.9917199647576574,-6.210847112619072,1.676402309086043,4.137676138030988,-0.106742142238713,1176.153011040106,1179.0846444444446,0.0,1899.0,9999,9999,9999,9999,1962,9999
8-7,0.943496274624815,-5.29263609937401,-1.2699040433969757,0.15338652165111272,-0.09577385583728427,1178.0048820174536,1180.2827777777777,0.0,1858.4,9999,9999,9999,9999,2047,9999
7-7,1.0189990312703903,-4.120366244085263,2.942156234704702,5.884941860011797,-0.11906805772005753,1171.4503698893698,1173.3827777777778,0.0,1883.6,9999,9999,9999,9999,1685,9999
4-4,1.0729387307152858,-5.471314655388021,-1.207863640633958,-0.014833988942662977,-0.13042476602762226,1168.3019916122678,1170.5120444444444,0.0,1849.2,9999,9999,9999,9999,1491,9999
1-3,0.8644330223336312,-4.07658256131206,2.846526539760891,5.745563885768695,0.09346328262213992,1178.7459386747291,1162.7708222222223,24.941800000000057,1853.8,9999,9999,9999,9999,1858,9999
7-1,1.0893713506818306,-6.10146980141074,2.318449170783121,4.905539129711797,-0.13712388126159583,1179.4228254884447,1181.9894666666667,0.0,1872.8,9999,9999,9999,9999,1690,9999
5-2,0.8970094777365201,-3.8713501643413504,2.824062940674195,5.641343588585555,0.1063718174946745,1182.9880080029318,1167.9613111111112,24.471000000000004,1858.2,9999,9999,9999,9999,1926,9999
6-4,1.0896815903904822,-3.5815886573656903,2.6134937184136033,5.307633181609911,-0.13555675943104514,1174.1612707437182,1176.8487777777777,0.0,1878.4,9999,9999,9999,9999,1717,9999
9-8,0.018428632880565027,-4.347103656500393,2.459012489826432,5.171083350387505,0.02898256799285374,1188.6569544286401,1174.3610666666666,18.847066666666706,1866.8,9999,9999,9999,9999,2308,9999
9-5,0.27647673997003497,-7.312265189056829,-1.052826381356716,0.19075166088094386,-0.025140960626675396,1196.5056298495158,1185.1614444444444,13.394288888888696,1899.2,9999,9999,9999,9999,2168,9999
6-3,0.6844858930575326,0.14159780934929503,-0.99734058365679,0.6097086057312546,0.05272021328935589,1191.589822556632,1178.3122222222223,19.807044444444273,1897.8,9999,9999,9999,9999,1804,9999
10-8,1.1208826530826592,-7.035936254421663,2.989807466021595,5.990274969310317,-0.14448253116195964,1182.73732498683,1185.3562222222222,0.0,1899.4,9999,9999,9999,9999,1400,9999
1-6,1.3468404452076101,-5.29911250359582,2.7125302970232723,5.589736110182507,-0.254163592661307,1196.251741698161,1201.3460222222222,0.0,2271.4,9999,9999,9999,9999,1143,9999
3-5,1.1615532616947208,-5.032814391529178,0.6265417962388923,2.89321392825333,-0.1600152883941457,1225.0223570122998,1227.7669555555556,0.0,2111.4,9999,9999,9999,9999,2657,9999
2-6,0.8399264261821757,-4.134863883510756,-1.0948940558016356,0.03165620649641991,0.055413120593691516,1188.9839062598776,1173.8217555555557,21.78368888888872,1882.4,9999,9999,9999,9999,1572,9999
3-8,-0.31224518116205824,-4.835969342000628,-1.1313082114929232,0.1813718399343883,-0.009587340891912434,1210.772145944708,1198.409488888889,15.868622222222257,1954.6,9999,9999,9999,9999,2342,9999
3-6,0.20840791113129373,-4.068281395714363,2.132125937677765,4.669495321063481,0.028479039923040128,1191.818848228315,1178.7375555555554,17.580177777777863,1878.4,9999,9999,9999,9999,2491,9999
4-8,0.743317050618605,-3.9843251892992084,2.7732120496859127,5.618242007843326,0.06497658159829604,1195.2644126709267,1180.5124888888888,21.954711111111237,1903.2,9999,9999,9999,9999,1706,9999
7-8,0.5420260655483403,-5.636148469866634,2.9717115715318134,5.970402007093719,0.04194588029959485,1194.8266918436059,1181.0307777777778,19.463488888888833,1886.4,9999,9999,9999,9999,1938,9999
5-1,1.0945478328621419,-6.155516746246432,-2.367924098527648,0.31036387509044727,-0.13416469126640523,1201.174092475778,1204.6561555555556,0.0,2054.2,9999,9999,9999,9999,2507,9999
2-8,1.0545919478257955,-4.175841463744746,2.396427724721133,5.137103517303229,-0.13064359156187758,1175.268212125793,1177.5972444444444,0.0,1882.0,9999,9999,9999,9999,1481,9999
8-2,1.1521969902084317,-0.16950449465043604,-1.3185933888589776,0.4194371673981425,-0.13823193953136773,1197.5286120158503,1199.569177777778,0.0,2010.8,9999,9999,9999,9999,2041,9999
1-5,0.9319647602013644,-5.289915452045068,2.585159341066446,5.372436245659033,0.09338644925444912,1171.8449020041687,1156.5890444444444,24.28986666666674,1826.0,9999,9999,9999,9999,1971,9999
7-3,0.9982418965280055,-7.0816485792412145,2.9632859685540978,6.006209394644675,-0.11126612189926464,1168.1284688334595,1169.7295777777776,0.0,1826.2,9999,9999,9999,9999,1295,9999
10-2,0.6939160202482543,-5.188875808321429,2.7898499281418223,5.575947094800863,-0.0582074376417237,1199.429007347855,1186.828311111111,14.062133333333577,1898.0,9999,9999,9999,9999,1697,9999
5-5,0.7328610451172595,-5.31412270165514,2.828571981543326,5.662446118003983,0.07633085549371256,1183.5603577864815,1170.4912444444444,21.325622222222364,1872.0,9999,9999,9999,9999,1583,9999
9-2,-0.47015915932470603,-5.777731019954756,-0.30184728916573256,-1.0304227356731717,0.0004974177145598685,1201.9647715385145,1190.5026222222223,15.105044444444275,1906.4,9999,9999,9999,9999,2143,9999
5-6,1.0767915326120097,-5.476867922277506,1.374449745463887,3.73818330147551,-0.13623793499622128,1199.2447178496986,1202.3225555555557,0.0,2034.4,9999,9999,9999,9999,2460,9999
1-7,1.0811308668733308,-5.039054565142171,2.5501211862294517,5.3007912175355925,-0.1307819443413723,1182.0675070936118,1184.7839333333334,0.0,1912.6,9999,9999,9999,9999,1678,9999
8-3,0.37130660726701314,-10.429678909146446,-0.5195316861816871,-0.8626747485978215,0.023866173847316714,1194.0636616780046,1180.3224666666667,18.39215555555552,1882.0,9999,9999,9999,9999,2290,9999
4-1,1.0769648804259122,-4.476883989117959,-0.8260748926535755,0.0647156756529258,-0.13374586738129604,1178.9520828191207,1181.438911111111,0.0,1871.6,9999,9999,9999,9999,2217,9999
4-2,0.29024638654433027,-5.160096288250219,1.9055456797927741,4.567062371062037,0.019107638562495918,1192.6938829428068,1180.1998,17.469422222222192,1881.4,9999,9999,9999,9999,1782,9999
1-4,0.9249568540642424,-6.174318138627457,1.5986432239460049,4.0596406268413485,0.09391025245653806,1178.288328903548,1163.4841333333334,24.006177777777793,1855.8,9999,9999,9999,9999,1500,9999
6-5,1.088807278579416,-0.6167565810425069,-1.253203539770553,0.6509759801823443,-0.12433906575963709,1181.6127927941548,1184.3822,0.0,1922.6,9999,9999,9999,9999,2178,9999
